"gameorder","game_id","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast","notes"
61878,"201411010MIN","NBA",0,2015,"11/1/2014",3,0,"MIN","Timberwolves",105,1513.0288,1508.1306,41.376728,"CHI","Bulls",106,1557.6185,1562.5167,"H","L",0.57907254,"NULL"
61878,"201411010MIN","NBA",1,2015,"11/1/2014",3,0,"CHI","Bulls",106,1557.6185,1562.5167,47.037384,"MIN","Timberwolves",105,1513.0288,1508.1306,"A","W",0.42092746,"NULL"
61879,"201411010NOP","NBA",1,2015,"11/1/2014",3,0,"DAL","Mavericks",109,1593.6544,1599.9275,50.811802,"NOP","Pelicans",104,1463.354,1457.0809,"A","W",0.5434956,"NULL"
61879,"201411010NOP","NBA",0,2015,"11/1/2014",2,0,"NOP","Pelicans",104,1463.354,1457.0809,36.046173,"DAL","Mavericks",109,1593.6544,1599.9275,"H","L",0.4565044,"NULL"
61880,"201411010OKC","NBA",1,2015,"11/1/2014",2,0,"DEN","Nuggets",91,1477.7131,1473.733,37.775261,"OKC","Thunder",102,1604.2545,1608.2346,"A","L",0.21347964,"NULL"
61880,"201411010OKC","NBA",0,2015,"11/1/2014",3,0,"OKC","Thunder",102,1604.2545,1608.2346,51.628998,"DEN","Nuggets",91,1477.7131,1473.733,"H","W",0.78652036,"NULL"
61881,"201411010ORL","NBA",1,2015,"11/1/2014",2,0,"TOR","Raptors",108,1554.9813,1562.8708,47.073719,"ORL","Magic",95,1347.2158,1339.3263,"A","W",0.6502977,"NULL"
61881,"201411010ORL","NBA",0,2015,"11/1/2014",3,0,"ORL","Magic",95,1347.2158,1339.3263,24.633213,"TOR","Raptors",108,1554.9813,1562.8708,"H","L",0.3497023,"NULL"
61882,"201411010PHI","NBA",1,2015,"11/1/2014",2,0,"MIA","Heat",114,1585.8995,1592.8823,50.112175,"PHI","Sixers",96,1306.175,1299.1923,"A","W",0.73780233,"NULL"
61882,"201411010PHI","NBA",0,2015,"11/1/2014",3,0,"PHI","Sixers",96,1306.175,1299.1923,21.244967,"MIA","Heat",114,1585.8995,1592.8823,"H","L",0.26219767,"NULL"
61883,"201411010UTA","NBA",0,2015,"11/1/2014",3,0,"UTA","Jazz",118,1363.7863,1392.7725,29.5856,"PHO","Suns",91,1573.3562,1544.37,"H","W",0.34734383,"NULL"
61883,"201411010UTA","NBA",1,2015,"11/1/2014",3,0,"PHO","Suns",91,1573.3562,1544.37,45.163685,"UTA","Jazz",118,1363.7863,1392.7725,"A","L",0.6526562,"NULL"
61884,"201411010WAS","NBA",1,2015,"11/1/2014",3,0,"MIL","Bucks",97,1324.2878,1321.8444,23.119684,"WAS","Wizards",108,1540.9893,1543.4327,"A","L",0.13906473,"NULL"
61884,"201411010WAS","NBA",0,2015,"11/1/2014",3,0,"WAS","Wizards",108,1540.9893,1543.4327,45.06636,"MIL","Bucks",97,1324.2878,1321.8444,"H","W",0.86093527,"NULL"
61885,"201411020LAC","NBA",1,2015,"11/2/2014",3,0,"SAC","Kings",98,1431.0991,1448.6361,35.17569,"LAC","Clippers",92,1638.92,1621.3831,"A","W",0.14529878,"NULL"
61885,"201411020LAC","NBA",0,2015,"11/2/2014",3,0,"LAC","Clippers",92,1638.92,1621.3831,52.903919,"SAC","Kings",98,1431.0991,1448.6361,"H","L",0.85470122,"NULL"
61886,"201411020MIA","NBA",1,2015,"11/2/2014",3,0,"TOR","Raptors",102,1562.8708,1558.7764,46.653015,"MIA","Heat",107,1592.8823,1596.9768,"A","L",0.32116866,"NULL"
61886,"201411020MIA","NBA",0,2015,"11/2/2014",3,0,"MIA","Heat",107,1592.8823,1596.9768,50.519489,"TOR","Raptors",102,1562.8708,1558.7764,"H","W",0.67883134,"NULL"
61887,"201411020NYK","NBA",1,2015,"11/2/2014",3,0,"CHO","Hornets",93,1507.0366,1503.4882,40.889767,"NYK","Knicks",96,1517.9955,1521.5439,"A","L",0.34553355,"NULL"
61887,"201411020NYK","NBA",0,2015,"11/2/2014",3,0,"NYK","Knicks",96,1517.9955,1521.5439,42.782612,"CHO","Hornets",93,1507.0366,1503.4882,"H","W",0.65446645,"NULL"
61888,"201411020POR","NBA",1,2015,"11/2/2014",3,0,"GSW","Warriors",95,1607.2056,1615.8838,52.373566,"POR","Trailblazers",90,1567.9905,1559.3123,"A","W",0.41340518,"NULL"
61888,"201411020POR","NBA",0,2015,"11/2/2014",3,0,"POR","Trailblazers",90,1567.9905,1559.3123,46.708149,"GSW","Warriors",95,1607.2056,1615.8838,"H","L",0.58659482,"NULL"
61889,"201411030BRK","NBA",0,2015,"11/3/2014",3,0,"BRK","Nets",116,1512.8772,1534.8898,44.177269,"OKC","Thunder",85,1608.2346,1586.222,"H","W",0.50668079,"NULL"
61889,"201411030BRK","NBA",1,2015,"11/3/2014",4,0,"OKC","Thunder",85,1608.2346,1586.222,49.445591,"BRK","Nets",116,1512.8772,1534.8898,"A","L",0.49331921,"NULL"
61890,"201411030DAL","NBA",0,2015,"11/3/2014",4,0,"DAL","Mavericks",118,1599.9275,1601.5667,50.973732,"BOS","Celtics",113,1391.9072,1390.2681,"H","W",0.85484368,"NULL"
61890,"201411030DAL","NBA",1,2015,"11/3/2014",3,0,"BOS","Celtics",113,1391.9072,1390.2681,29.343697,"DAL","Mavericks",118,1599.9275,1601.5667,"A","L",0.14515632,"NULL"
61891,"201411030DEN","NBA",1,2015,"11/3/2014",4,0,"SAC","Kings",110,1448.6361,1459.156,36.260796,"DEN","Nuggets",105,1473.733,1463.2131,"A","W",0.32736748,"NULL"
61891,"201411030DEN","NBA",0,2015,"11/3/2014",3,0,"DEN","Nuggets",105,1473.733,1463.2131,36.681175,"SAC","Kings",110,1448.6361,1459.156,"H","L",0.67263252,"NULL"
61892,"201411030LAC","NBA",0,2015,"11/3/2014",4,0,"LAC","Clippers",107,1621.3831,1622.988,53.057896,"UTA","Jazz",101,1392.7725,1391.1675,"H","W",0.86894178,"NULL"
61892,"201411030LAC","NBA",1,2015,"11/3/2014",4,0,"UTA","Jazz",101,1392.7725,1391.1675,29.430471,"LAC","Clippers",107,1621.3831,1622.988,"A","L",0.13105822,"NULL"
61893,"201411030MEM","NBA",1,2015,"11/3/2014",3,0,"NOP","Pelicans",81,1457.0809,1453.1731,35.642742,"MEM","Grizzlies",93,1597.6534,1601.5613,"A","L",0.20023173,"NULL"
61893,"201411030MEM","NBA",0,2015,"11/3/2014",4,0,"MEM","Grizzlies",93,1597.6534,1601.5613,50.973202,"NOP","Pelicans",81,1457.0809,1453.1731,"H","W",0.79976827,"NULL"
61894,"201411030PHI","NBA",1,2015,"11/3/2014",4,0,"HOU","Rockets",104,1616.8905,1621.0573,52.872616,"PHI","Sixers",93,1299.1923,1295.0255,"A","W",0.77784842,"NULL"
61894,"201411030PHI","NBA",0,2015,"11/3/2014",4,0,"PHI","Sixers",93,1299.1923,1295.0255,20.911091,"HOU","Rockets",104,1616.8905,1621.0573,"H","L",0.22215156,"NULL"
61895,"201411040CHI","NBA",1,2015,"11/4/2014",4,0,"ORL","Magic",90,1339.3263,1337.3835,24.46224,"CHI","Bulls",98,1562.5167,1564.4595,"A","L",0.1346525,"NULL"
61895,"201411040CHI","NBA",0,2015,"11/4/2014",4,0,"CHI","Bulls",98,1562.5167,1564.4595,47.236603,"ORL","Magic",90,1339.3263,1337.3835,"H","W",0.8653475,"NULL"
61896,"201411040IND","NBA",1,2015,"11/4/2014",4,0,"MIL","Bucks",87,1321.8444,1338.9329,24.598534,"IND","Pacers",81,1516.1642,1499.0757,"A","W",0.1552189,"NULL"
61896,"201411040IND","NBA",0,2015,"11/4/2014",4,0,"IND","Pacers",81,1516.1642,1499.0757,40.426952,"MIL","Bucks",87,1321.8444,1338.9329,"H","L",0.8447811,"NULL"
